,Run 1,Run 2,Run 3,Run 4,Run 5,Average
mpnet_description,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333
mpnet_processed_description,0.625,0.5833333333333334,0.6666666666666666,0.625,0.625,0.625
allMiniLM_description,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666
allMiniLM_processed_description,0.375,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.575
splade_description,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667
splade_processed_description,0.5416666666666666,0.5833333333333334,0.625,0.7083333333333334,0.625,0.6166666666666667
tfidf_description,0.125,0.125,0.125,0.125,0.125,0.125
tfidf_processed_description,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.20833333333333334,0.16666666666666666,0.175
tfidf_and_allMiniLM_description,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666
tfidf_and_allMiniLM_processed_description,0.3333333333333333,0.5833333333333334,0.625,0.6666666666666666,0.5833333333333334,0.5583333333333333
splade_and_allMiniLM_description,0.5,0.5,0.5,0.5,0.5,0.5
splade_and_allMiniLM_processed_description,0.5416666666666666,0.5833333333333334,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.6416666666666667
tfidf_and_mpnet_description,0.5,0.5,0.5,0.5,0.5,0.5
tfidf_and_mpnet_processed_description,0.5833333333333334,0.5833333333333334,0.625,0.625,0.6666666666666666,0.6166666666666667
splade_and_mpnet_description,0.5,0.5,0.5,0.5,0.5,0.5
splade_and_mpnet_processed_description,0.5833333333333334,0.625,0.75,0.75,0.75,0.6916666666666667
tfidf_and_splade_description,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333
tfidf_and_splade_processed_description,0.5,0.5833333333333334,0.5833333333333334,0.7083333333333334,0.6666666666666666,0.6083333333333334
allMiniLM_and_mpnet_description,0.5,0.5,0.5,0.5,0.5,0.5
allMiniLM_and_mpnet_processed_description,0.6666666666666666,0.625,0.7083333333333334,0.6666666666666666,0.7083333333333334,0.675
